committee_id	name	type	office_scope	status	provenance	evidence	added
34616	Neighbors for Daniel La Spata	Candidate	ward-1	A	incumbent-roster	To elect Daniel La Spata to public office.	2026-08-24
39590	Friends of Laura Yepez	Candidate	ward-1	A	ishan-attested	ishan-attested: add ward 1; To support the political activities of Laura Yepez	2026-08-24
40637	People for Daniel Tobon	Candidate	ward-1	A	ishan-attested	ishan-attested: add ward 1; Support candidacy for office.	2026-08-29
41043	Neighbors for Bill	Candidate	ward-1	A	r2-table	To support the candidacy and political activites of Bill Thanoukos	2026-08-24
25653	Hopkins for Chicago	Candidate	ward-2	A	text-pass+incumbent-roster	elect Brian hopkins for Alderman, City of Chicago	2026-08-24
40933	Friends Of Richard Omoniyi-Shoyoola	Candidate	ward-2	A	text-pass	To support the election of Richard Omoniyi-Shoyoola to the office of Alderperson, 2nd Wartd, City of Chicago, in the 2027 municipal election.	2026-08-24
16892	Citizens for Pat Dowell	Candidate	ward-3	A	incumbent-roster	To support the candidacy of Pat Dowell.	2026-08-24
41249	We The People to Elect QuShona Molly Harris for Alderman	Candidate	ward-3	A	r2-table+text-pass	A cleaner, safer, healthier and more prosperous 3rd ward- bronzeville, where long term residents, newly ound residents, families, seniors, outh and businesses can thrive together!	2026-08-24
41286	JEM for 3rd Ward	Candidate	ward-3	A	r2-table+text-pass	To support the candidates of James E Muhammad for 3rd Ward Alderman of Chicago	2026-08-24
41316	Friends of Raheem Uqdah	Candidate	ward-3	A	r2-table+text-pass	Support Raheem Uqdah running for third ward Alderman	2026-08-24
38916	Lamont Robinson For Alderman	Candidate	ward-4	A	text-pass+incumbent-roster	To elect Lamont Robinson For Alderman	2026-08-24
38925	Friends of Desmon Yancy	Candidate	ward-5	A	incumbent-roster	To support the candidacy of Desmon C. Yancy	2026-08-24
38991	Friends of William Hall	Candidate	ward-6	A	text-pass+incumbent-roster	To elect William Hall as Alderperson for the 6th Ward in Chicago.	2026-08-24
41271	Friends of Adrienne McFarland	Candidate	ward-6	A	r2-table+text-pass	To support the nomination and election of Adrienne McFarland for Alderperson of Chicago's 6th Ward and to recieve contributions and make expenditures in support of that campaign.	2026-08-24
22816	Friends of Greg Mitchell	Candidate	ward-7	A	text-pass+incumbent-roster	To support the candidacy of Greg Mitchell for Alderman of the 7th Ward in Chicago, Illinois	2026-08-24
41219	Sheila for the 7th Ward	Candidate	ward-7	A	r2-table+text-pass	To support the election of Sheila Gunn-Ward to the Chicago, IL 7th Ward Alderman Seat	2026-08-24
41234	Friends of Samuel	Candidate	ward-7	A	r2-table	To support the candidacy of Samuel C. Sparks	2026-08-24
41236	Friends Of Nate Pendleton	Candidate	ward-7	A	r2-table+text-pass	To support the candidacy of Nathaniel Pendleton for the office of the 7th Ward, City of Chicago, in the February 2027 Municipal Election amd any subsequent runoff election.	2026-08-24
41280	Friends & Neighbors for Cher Phillips	Candidate	ward-7	A	r2-table+text-pass	To support the election of Cher Phillips for Alderperson of the City of Chicago's 7th Ward.	2026-08-24
20016	Friends of Michelle A Harris	Candidate	ward-8	A	ishan-attested	ishan-attested: add 8 (incumbent); To support Michelle A Harris in her pursuits of political office	2026-08-29
41311	Friends of JD Jones	Candidate	ward-8	A	r2-table	To raise money to support the election of Jimmy Darnell Jones aka Jaye Jones	2026-08-24
14556	Citizens to Elect Anthony Beale	Candidate	ward-9	A	incumbent-roster	To support the candidacy of Anthony Beale for such office as determined by the committee.	2026-08-24
41179	Ernest Dawson for 9th Ward Alderman	Candidate	ward-9	A	r2-table+text-pass	To support the election of Ernest Dawson for Alderman for Chicago's 9th Ward.	2026-08-24
38819	Friends of Peter Chico for Alderman	Candidate	ward-10	A	text-pass+incumbent-roster	Support Peter Chico for the office of Chicago 10th ward Alderperson	2026-08-24
37399	Friends of Nicole Lee	Candidate	ward-11	A	incumbent-roster	To elect Nicole Lee and like minded candidates	2026-08-24
38809	Ramirez for 12	Candidate	ward-12	A	text-pass+incumbent-roster	To elect Julia Ramirez to public office	2026-08-24
41126	Friends of Claudia Zuno	Candidate	ward-12	A	r2-table+text-pass	Elect Claudia Zuno for the 12th Ward Alderman	2026-08-24
23282	Citizens for Marty Quinn	Candidate	ward-13	A	text-pass+incumbent-roster	To elect Marty Quinn Alderman, 13th Ward.	2026-08-24
41309	Citizens for Al Cacciottolo	Candidate	ward-13	A	r2-table+text-pass	To elect Al Cacciottolo Alderman, 13th Ward	2026-08-24
