ID	Name
22729	Welcome Wal-Mart
18574	SEIU Illinois Council PAC
26023	Friends of Gilbert Villegas for Alderman
25064	Illinois REALTORS Fund
25782	Chicagoans United for Economic Security PAC
25901	Democrats for Education Reform Independent Committee IL
26066	INCS Action Independent Committee
25960	Chicago Forward
25109	HACIA PAC
38979	Get Stuff Done PAC
19830	Friends of Nicholas Sposato
39122	Working Families for Chicago
539	Illinois Farm Bureau ACTIVATOR
36936	Areyto Political Action Committee
39901	Urban Center Action
